💞 0103 check️,#genre#
沉穩柔和的睡眠音樂,https://www.youtube.com/watch?v=SjkGdCuT8zg


基隆,#genre#
碧砂1,https://www.youtube.com/watch?v=-tQr28-BR_0
碧砂2,https://www.youtube.com/watch?v=3C0UbF4ArsU
基隆和平島1,https://www.youtube.com/watch?v=N7mUGaV8zzw
基隆和平島2,https://www.youtube.com/watch?v=-BUxCSRlyU0
外木山,https://www.youtube.com/watch?v=LInNQYAbAwQ
外木山提防提岸,https://www.youtube.com/watch?v=ADAw2ExcJ5s
潮境海灣1,https://www.youtube.com/watch?v=iw8_RUCeKdw
潮境海灣2,https://www.youtube.com/watch?v=jzAxB157yb8
潮境海灣3,https://www.youtube.com/watch?v=D6tmNFsYVUg


台北,#genre#
碧山巖,https://www.youtube.com/watch?v=uvwfYzwY8tg
大稻埕碼頭,https://www.youtube.com/watch?v=Ndo_8RuefH4
劍潭山微風平台,https://www.youtube.com/watch?v=34h_Cy_n0Ok
象山看台北,https://www.youtube.com/watch?v=z_fY1pj1VBw
大佳河濱公園,https://www.youtube.com/watch?v=fP4ecxfsJos
貓空指南宮,https://www.youtube.com/watch?v=215ahZ_0rTg
陽明書屋,https://www.youtube.com/watch?v=RttyIGHbN_w
台北市河岸,https://www.youtube.com/watch?v=c-fsELxk5aw
擎天崗草原,https://www.youtube.com/watch?v=yF2LAyOvq0Q
遠眺七星山,https://www.youtube.com/watch?v=PvJr2efA6n0
二子坪停車場,https://www.youtube.com/watch?v=d9KuXrPCWYU
小油坑停車場,https://www.youtube.com/watch?v=kKD-ZBLs8-4
冷水坑停車場,https://www.youtube.com/watch?v=GB64WeZZQPQ




新北,#genre#
新北市沙崙1,https://www.youtube.com/watch?v=JtJ91wJh1sE
新北市沙崙2,https://www.youtube.com/watch?v=Dh12nXyWs00
新北福隆1,https://www.youtube.com/watch?v=-tfx0aM_vyY
新北福隆2,https://www.youtube.com/watch?v=Fvdnj1A_Elc
烘爐地,https://www.youtube.com/watch?v=xxMRjVwCQ3o
九份,https://www.youtube.com/watch?v=XSD5ptYisw8
九份老街,https://www.youtube.com/watch?v=RzwHRRUPccU
淡水漁人碼頭,https://www.youtube.com/watch?v=xwAWSh35uuw
淡水渡船頭,https://www.youtube.com/watch?v=9rcEL_yWMk4
八里左岸,https://www.youtube.com/watch?v=di-4DCblWq4
三峽老街1,https://www.youtube.com/watch?v=M24SZJU-uoo
三峽老街2,https://www.youtube.com/watch?v=R_5jhoux3nY
外澳沙灘,https://www.youtube.com/watch?v=UgoT-QTbYvo
福隆海水浴場,https://www.youtube.com/watch?v=wujLMSn89xY
野柳1,https://www.youtube.com/watch?v=GRxh5WM2jrQ
野柳2,https://www.youtube.com/watch?v=wLFGtu3b2Dw
烏來老街與覽勝橋,https://www.youtube.com/watch?v=-nyTOqcRDIQ
碧潭,https://www.youtube.com/watch?v=wwkZSCar87I
綠石槽即時影像,https://www.youtube.com/watch?v=JLCaRPsWPjs
